,Unnamed: 0,GR,NPHI,RHOB,DEPT,RM,RT,FACIES,idx,zone,color,grmax,grmin,rhoma,rhofl,phish,VSHALE,PHID,PHIT,PHIE
62,62,98.81038125,,,62,,,,62,0,black,100,20,2.65,1.1,0.4,0.9851297656250001,,,
63,63,100.1866625,,,63,,,,63,0,black,100,20,2.65,1.1,0.4,1.0023332812499999,,,
64,64,105.7370125,,,64,,,,64,0,black,100,20,2.65,1.1,0.4,1.0717126562500001,,,
65,65,106.511275,,,65,,,,65,0,black,100,20,2.65,1.1,0.4,1.0813909375,,,
66,66,98.306985,,,66,,,,66,0,black,100,20,2.65,1.1,0.4,0.9788373125,,,
67,67,98.8609325,,,67,,,,67,0,black,100,20,2.65,1.1,0.4,0.98576165625,,,
68,68,99.118615,,,68,,,,68,0,black,100,20,2.65,1.1,0.4,0.9889826875000001,,,
69,69,102.32398750000002,,,69,,,,69,0,black,100,20,2.65,1.1,0.4,1.0290498437500002,,,
70,70,102.65035,,,70,,,,70,0,black,100,20,2.65,1.1,0.4,1.0331293750000001,,,
71,71,99.32445125,,,71,,,,71,0,black,100,20,2.65,1.1,0.4,0.9915556406249999,,,
72,72,103.61685,,,72,,,,72,0,black,100,20,2.65,1.1,0.4,1.045210625,,,
73,73,90.5115275,,,73,,,,73,0,black,100,20,2.65,1.1,0.4,0.88139409375,,,
74,74,92.59110375,,,74,,,,74,0,black,100,20,2.65,1.1,0.4,0.9073887968750001,,,
75,75,97.9868075,,,75,,,,75,0,black,100,20,2.65,1.1,0.4,0.97483509375,,,
76,76,94.91670125,,,76,,,,76,0,black,100,20,2.65,1.1,0.4,0.9364587656250001,,,
77,77,98.3585725,,,77,,,,77,0,black,100,20,2.65,1.1,0.4,0.9794821562499999,,,
78,78,100.5482375,,,78,,,,78,0,black,100,20,2.65,1.1,0.4,1.00685296875,,,
79,79,97.77232125,,,79,,,,79,0,black,100,20,2.65,1.1,0.4,0.972154015625,,,
80,80,111.8519625,,,80,,,,80,0,black,100,20,2.65,1.1,0.4,1.14814953125,,,
81,81,97.38190375,,,81,,,,81,0,black,100,20,2.65,1.1,0.4,0.967273796875,,,
82,82,97.63941625,,,82,,,,82,0,black,100,20,2.65,1.1,0.4,0.9704927031249999,,,
83,83,101.55925,,,83,,,,83,0,black,100,20,2.65,1.1,0.4,1.019490625,,,
84,84,104.1678625,,,84,,,,84,0,black,100,20,2.65,1.1,0.4,1.05209828125,,,
85,85,104.9741875,,,85,,,,85,0,black,100,20,2.65,1.1,0.4,1.06217734375,,,
86,86,102.636675,,,86,,,,86,0,black,100,20,2.65,1.1,0.4,1.0329584375,,,
87,87,118.4188,,,87,,,,87,0,black,100,20,2.65,1.1,0.4,1.230235,,,
88,88,105.6697125,,,88,,,,88,0,black,100,20,2.65,1.1,0.4,1.07087140625,,,
89,89,106.99975,,,89,,,,89,0,black,100,20,2.65,1.1,0.4,1.087496875,,,
90,90,98.34840375,,,90,,,,90,0,black,100,20,2.65,1.1,0.4,0.9793550468750001,,,
91,91,110.945275,,,91,,,,91,0,black,100,20,2.65,1.1,0.4,1.1368159375,,,
92,92,93.7124275,,,92,,,,92,0,black,100,20,2.65,1.1,0.4,0.92140534375,,,
93,93,99.24017874999998,,,93,,,,93,0,black,100,20,2.65,1.1,0.4,0.9905022343749998,,,
94,94,106.9682875,,,94,,,,94,0,black,100,20,2.65,1.1,0.4,1.08710359375,,,
95,95,109.3908875,,,95,,,,95,0,black,100,20,2.65,1.1,0.4,1.11738609375,,,
96,96,111.0699,,,96,,,,96,0,black,100,20,2.65,1.1,0.4,1.13837375,,,
97,97,121.4156375,,,97,,,,97,0,black,100,20,2.65,1.1,0.4,1.26769546875,,,
98,98,104.7089875,,,98,,,,98,0,black,100,20,2.65,1.1,0.4,1.05886234375,,,
99,99,106.17085,,,99,,,,99,0,black,100,20,2.65,1.1,0.4,1.077135625,,,
100,100,104.1045875,,,100,,,,100,0,black,100,20,2.65,1.1,0.4,1.05130734375,,,
101,101,97.479255,,,101,,,,101,0,black,100,20,2.65,1.1,0.4,0.9684906874999999,,,
102,102,87.1362075,,,102,,,,102,0,black,100,20,2.65,1.1,0.4,0.83920259375,,,
103,103,91.48373875,,,103,,,,103,0,black,100,20,2.65,1.1,0.4,0.893546734375,,,
104,104,101.19717500000002,,,104,,,,104,0,black,100,20,2.65,1.1,0.4,1.0149646875000002,,,
105,105,97.04757375,,,105,,,,105,0,black,100,20,2.65,1.1,0.4,0.963094671875,,,
106,106,98.19870375,,,106,,,,106,0,black,100,20,2.65,1.1,0.4,0.9774837968750001,,,
107,107,94.65089125,,,107,,,,107,0,black,100,20,2.65,1.1,0.4,0.933136140625,,,
108,108,103.90972499999998,,,108,,,,108,0,black,100,20,2.65,1.1,0.4,1.0488715624999998,,,
109,109,100.9941125,,,109,,,,109,0,black,100,20,2.65,1.1,0.4,1.01242640625,,,
110,110,103.878475,,,110,,,,110,0,black,100,20,2.65,1.1,0.4,1.0484809375,,,
111,111,110.9725125,,,111,,,,111,0,black,100,20,2.65,1.1,0.4,1.13715640625,,,
112,112,98.71502375,,,112,,,,112,0,black,100,20,2.65,1.1,0.4,0.983937796875,,,
113,113,110.376425,,,113,,,,113,0,black,100,20,2.65,1.1,0.4,1.1297053125,,,
114,114,93.1660675,,,114,,,,114,0,black,100,20,2.65,1.1,0.4,0.91457584375,,,
115,115,107.51625,,,115,,,,115,0,black,100,20,2.65,1.1,0.4,1.093953125,,,
116,116,97.70589375,,,116,,,,116,0,black,100,20,2.65,1.1,0.4,0.971323671875,,,
117,117,97.74248,,,117,,,,117,0,black,100,20,2.65,1.1,0.4,0.971781,,,
118,118,105.22172500000002,,,118,,,,118,0,black,100,20,2.65,1.1,0.4,1.0652715625000002,,,
119,119,103.62157499999998,,,119,,,,119,0,black,100,20,2.65,1.1,0.4,1.0452696874999998,,,
120,120,104.3643,,,120,,,,120,0,black,100,20,2.65,1.1,0.4,1.05455375,,,
121,121,99.97005125,,,121,,,,121,0,black,100,20,2.65,1.1,0.4,0.9996256406249999,,,
122,122,107.64145,,,122,,,,122,0,black,100,20,2.65,1.1,0.4,1.0955181250000001,,,
123,123,103.4502,,,123,,,,123,0,black,100,20,2.65,1.1,0.4,1.0431275,,,
124,124,108.9552625,,,124,,,,124,0,black,100,20,2.65,1.1,0.4,1.11194078125,,,
125,125,109.66785,,,125,,,,125,0,black,100,20,2.65,1.1,0.4,1.120848125,,,
126,126,112.4319125,,,126,,,,126,0,black,100,20,2.65,1.1,0.4,1.1553989062499999,,,
127,127,101.7383,,,127,,,,127,0,black,100,20,2.65,1.1,0.4,1.0217287499999999,,,
128,128,103.8056375,,,128,,,,128,0,black,100,20,2.65,1.1,0.4,1.04757046875,,,
129,129,102.95174999999998,,,129,,,,129,0,black,100,20,2.65,1.1,0.4,1.0368968749999996,,,
130,130,99.56607125,,,130,,,,130,0,black,100,20,2.65,1.1,0.4,0.994575890625,,,
131,131,97.73493875,,,131,,,,131,0,black,100,20,2.65,1.1,0.4,0.971686734375,,,
132,132,106.8537375,,,132,,,,132,0,black,100,20,2.65,1.1,0.4,1.08567171875,,,
133,133,108.038,,,133,,,,133,0,black,100,20,2.65,1.1,0.4,1.1004749999999999,,,
134,134,104.7746125,,,134,,,,134,0,black,100,20,2.65,1.1,0.4,1.0596826562500001,,,
135,135,116.9936375,,,135,,,,135,0,black,100,20,2.65,1.1,0.4,1.21242046875,,,
136,136,100.62359999999998,,,136,,,,136,0,black,100,20,2.65,1.1,0.4,1.0077949999999998,,,
137,137,109.2091375,,,137,,,,137,0,black,100,20,2.65,1.1,0.4,1.11511421875,,,
138,138,105.555,,,138,,,,138,0,black,100,20,2.65,1.1,0.4,1.0694375,,,
139,139,110.516625,,,139,,,,139,0,black,100,20,2.65,1.1,0.4,1.1314578125,,,
140,140,104.0960875,,,140,,,,140,0,black,100,20,2.65,1.1,0.4,1.05120109375,,,
141,141,98.5069375,,,141,,,,141,0,black,100,20,2.65,1.1,0.4,0.9813367187500001,,,
142,142,96.60175625,,,142,,,,142,0,black,100,20,2.65,1.1,0.4,0.9575219531249999,,,
143,143,104.425225,,,143,,,,143,0,black,100,20,2.65,1.1,0.4,1.0553153124999999,,,
144,144,108.13885,,,144,,,,144,0,black,100,20,2.65,1.1,0.4,1.101735625,,,
145,145,109.6074375,,,145,,,,145,0,black,100,20,2.65,1.1,0.4,1.12009296875,,,
146,146,106.7664,,,146,,,,146,0,black,100,20,2.65,1.1,0.4,1.08458,,,
147,147,102.7565375,,,147,,,,147,0,black,100,20,2.65,1.1,0.4,1.03445671875,,,
148,148,103.1741,,,148,,,,148,0,black,100,20,2.65,1.1,0.4,1.0396762499999999,,,
149,149,114.33634999999998,,,149,,,,149,0,black,100,20,2.65,1.1,0.4,1.1792043749999999,,,
150,150,114.6685375,,,150,,,,150,0,black,100,20,2.65,1.1,0.4,1.18335671875,,,
151,151,107.11125,,,151,,,,151,0,black,100,20,2.65,1.1,0.4,1.088890625,,,
152,152,106.43931250000004,,,152,,,,152,0,black,100,20,2.65,1.1,0.4,1.0804914062500006,,,
